#,wP,rS,hR,tbA,obP,baaT,terA
1,0.556,712,171,0.25,0.321,0.262,4.13
2,0.519,810,176,0.275,0.339,0.259,4.11
3,0.525,752,151,0.271,0.333,0.246,4.04
4,0.444,783,204,0.267,0.335,0.282,4.94
5,0.522,860,171,0.28,0.354,0.266,4.32
6,0.438,790,201,0.267,0.336,0.285,4.94
7,0.451,723,167,0.26,0.33,0.273,4.68
8,0.506,735,129,0.275,0.337,0.261,4.2
9,0.512,801,231,0.262,0.329,0.269,4.41
10,0.543,804,177,0.275,0.342,0.255,4.26
11,0.549,892,213,0.274,0.354,0.276,4.73
12,0.42,724,148,0.263,0.325,0.288,4.93
13,0.546,741,171,0.251,0.322,0.25,3.7
14,0.438,683,131,0.254,0.322,0.261,4.19
15,0.481,725,141,0.274,0.337,0.271,4.65
16,0.451,673,123,0.256,0.325,0.269,4.58
